Feature                         Version     #licenses    Vendor        Expires

_______                         _________   _________    ______        ________

SERIAL                          3.5          0           LMCOMSOL      permanent(no expiration date)

SERIAL                          3.5          0           LMCOMSOL      permanent(no expiration date)

SERIAL                          4.1          0           LMCOMSOL      permanent(no expiration date)

SERIAL                          4.1          0           LMCOMSOL      permanent(no expiration date)

SERIAL                          5.2          0           LMCOMSOL      permanent(no expiration date)

SERIAL                          5.2          0           LMCOMSOL      permanent(no expiration date)

SERIAL                          5.5          0           LMCOMSOL      permanent(no expiration date)

SERIAL                          6.1          0           LMCOMSOL      permanent(no expiration date)

SERIAL                          6.1          0           LMCOMSOL      permanent(no expiration date)

ACDC                            3.5          30          LMCOMSOL      permanent(no expiration date)

ACDC                            6.1          5           LMCOMSOL      permanent(no expiration date)

ACDCBATCH                       6.1          5           LMCOMSOL      permanent(no expiration date)

ACOUSTICS                       6.1          2           LMCOMSOL      permanent(no expiration date)

ACOUSTICSBATCH                  6.1          2           LMCOMSOL      permanent(no expiration date)

BATTERYDESIGN                   6.1          1           LMCOMSOL      permanent(no expiration date)

BATTERYDESIGNBATCH              6.1          1           LMCOMSOL      permanent(no expiration date)

CADIMPORT                       3.5          30          LMCOMSOL      permanent(no expiration date)

CADIMPORT                       4.1          2           LMCOMSOL      permanent(no expiration date)

CADIMPORT                       6.1          5           LMCOMSOL      permanent(no expiration date)

CADIMPORTBATCH                  6.1          5           LMCOMSOL      permanent(no expiration date)

CFD                             6.1          8           LMCOMSOL      permanent(no expiration date)

CFDBATCH                        6.1          8           LMCOMSOL      permanent(no expiration date)

CHEM                            3.5          30          LMCOMSOL      permanent(no expiration date)

CHEM                            6.1          1           LMCOMSOL      permanent(no expiration date)

CHEMBATCH                       6.1          1           LMCOMSOL      permanent(no expiration date)

COMSOL                          3.5          30          LMCOMSOL      permanent(no expiration date)

COMSOL                          6.1          21          LMCOMSOL      permanent(no expiration date)

COMSOLBATCH                     6.1          21          LMCOMSOL      permanent(no expiration date)

CORROSION                       6.1          4           LMCOMSOL      permanent(no expiration date)

CORROSIONBATCH                  6.1          4           LMCOMSOL      permanent(no expiration date)

ECADIMPORT                      6.1          1           LMCOMSOL      permanent(no expiration date)

ECADIMPORTBATCH                 6.1          1           LMCOMSOL      permanent(no expiration date)

GEOMECHANICS                    6.1          1           LMCOMSOL      permanent(no expiration date)

GEOMECHANICSBATCH               6.1          1           LMCOMSOL      permanent(no expiration date)

HEATTRANSFER                    6.1          5           LMCOMSOL      permanent(no expiration date)

HEATTRANSFERBATCH               6.1          5           LMCOMSOL      permanent(no expiration date)

LLEXCEL                         6.1          1           LMCOMSOL      permanent(no expiration date)

LLEXCELBATCH                    6.1          1           LMCOMSOL      permanent(no expiration date)

LLMATLAB                        6.1          2           LMCOMSOL      permanent(no expiration date)

LLMATLABBATCH                   6.1          2           LMCOMSOL      permanent(no expiration date)

LLSOLIDWORKS                    6.1          1           LMCOMSOL      permanent(no expiration date)

MEMS                            6.1          5           LMCOMSOL      permanent(no expiration date)

MEMSBATCH                       6.1          5           LMCOMSOL      permanent(no expiration date)

